361,428,390,430,389,442,360,440
191,241,267,248,265,273,188,266
871,319,920,319,920,335,871,334
398,615,467,624,462,659,394,651
1043,179,1071,177,1072,191,1044,193
1023,55,1058,56,1058,74,1022,73
160,613,275,618,274,640,159,635
733,213,825,201,829,234,737,246
431,298,500,297,501,332,432,333
854,242,906,244,905,257,853,255
743,68,779,68,779,82,743,82
778,302,820,300,821,315,778,316
271,617,328,622,327,642,269,637
814,205,902,203,902,235,815,236
1022,408,1207,402,1208,428,1023,433
799,322,843,320,843,333,799,335
941,333,971,333,971,345,942,345
1021,164,1052,161,1053,176,1022,179
755,344,790,341,791,354,756,357
804,416,848,416,848,428,804,427
1086,175,1124,177,1123,192,1085,191
747,357,780,359,780,370,746,368
809,244,852,243,852,257,809,258
935,280,970,275,971,287,936,291
108,275,132,275,132,287,108,287
938,256,970,257,969,270,938,270
937,301,968,298,969,311,938,314
769,401,801,400,801,411,769,412
781,275,813,273,814,284,782,286
936,291,969,287,970,299,937,303
1017,414,1036,337,1076,347,1057,424
758,331,790,328,791,340,760,343
1026,1,1071,1,1072,11,1026,12
808,299,849,297,850,309,809,312
943,378,982,376,983,388,943,390
